"Carimbo de data/hora","Título","Que nota daria para o filme?","Categoria","Comentário"
"2022/08/11 7:58:12 PM GMT-3","Matrix","5","Romance;Ação;Drama","Melhor filme de 1999, obra prima das irmãs Wachowski."
"2022/08/11 7:58:37 PM GMT-3","Herói de brinquedo","3","Comédia;Ação",""
"2022/08/11 7:59:58 PM GMT-3","Bacurau","5","Ação;Terror;Drama","Incrível obra de Kleber Mendonça Filho."
